lcid	locale	int_curr_symbol	currency_symbol	mon_decimal_point	mon_thousands_sep	mon_grouping	positive_sign	negative_sign	int_frac_digits	frac_digits	p_cs_precedes	p_sep_by_space	n_cs_precedes	n_sep_by_space	p_sign_posn	n_sign_posn	decimal_point	thousands_sep	grouping
0x0001	ar	SAR	ر.س.‏	.	,	[3, 0]		-	2	2	0	1	0	1	1	1	.	,	[3, 0]
0x0002	bg	BGN	лв.	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0003	ca	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0004	zh-Hans	CNY	￥	.	,	[3, 0]		-	2	2	1	0	1	0	4	4	.	,	[3, 0]
0x0005	cs	CZK	Kč	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0006	da	DKK	kr.	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0007	de	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0008	el	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0009	en	USD	$	.	,	[3, 0]		-	2	2	1	0	1	0	3	0	.	,	[3, 0]
0x000A	es	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x000B	fi	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x000C	fr	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x000D	he	ILS	₪	.	,	[3, 0]		-	2	2	1	1	1	0	4	4	.	,	[3, 0]
0x000E	hu	HUF	Ft	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x000F	is	ISK	kr	,	.	[3, 0]		-	0	0	0	1	0	1	1	1	,	.	[3, 0]
0x0010	it	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0011	ja	JPY	\	.	,	[3, 0]		-	0	0	1	0	1	0	3	3	.	,	[3, 0]
0x0012	ko	KRW	\	.	,	[3, 0]		-	0	0	1	0	1	0	3	3	.	,	[3, 0]
0x0013	nl	EUR	€	,	.	[3, 0]		-	2	2	1	1	1	1	4	4	,	.	[3, 0]
0x0014	no	NOK	kr	,	 	[3, 0]		-	2	2	1	1	1	1	3	3	,	 	[3, 0]
0x0015	pl	PLN	zł	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0016	pt	BRL	R$	,	.	[3, 0]		-	2	2	1	1	1	1	3	3	,	.	[3, 0]
0x0017	rm	CHF	CHF	.	’	[3, 0]		-	2	2	0	1	0	1	1	1	.	’	[3, 0]
0x0018	ro	RON	lei	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0019	ru	RUB	?	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x001A	hr	HRK	kn	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x001B	sk	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x001C	sq	ALL	Lekë	,	 	[3, 0]		-	0	0	0	1	0	1	1	1	,	 	[3, 0]
0x001D	sv	SEK	kr	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x001E	th	THB	฿	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x001F	tr	TRY	?	,	.	[3, 0]		-	2	2	1	0	1	0	3	3	,	.	[3, 0]
0x0020	ur	PKR	Rs	.	,	[3, 0]		-	2	2	1	1	1	1	3	3	.	,	[3, 0]
0x0021	id	IDR	Rp	,	.	[3, 0]		-	0	0	1	0	1	0	3	3	,	.	[3, 0]
0x0022	uk	GBP	£	.	,	[3, 0]		-	2	2	1	0	1	0	3	3	.	,	[3, 0]
0x0023	be	BYN	Br	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0024	sl	EUR	€	,	.	[3, 0]		-	2	2	0	1	0	1	1	1	,	.	[3, 0]
0x0025	et	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0026	lv	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
0x0027	lt	EUR	€	,	 	[3, 0]		-	2	2	0	1	0	1	1	1	,	 	[3, 0]
