Gregorian	Um 17	Um 06	islamic
1900-01-01	1317-08-29	1317-08-29	1317-08-28
1900-01-02	1317-09-01	1317-09-01	1317-08-29
1900-01-03	1317-09-02	1317-09-02	1317-09-01
1900-01-04	1317-09-03	1317-09-03	1317-09-02
1900-01-05	1317-09-04	1317-09-04	1317-09-03
1900-01-06	1317-09-05	1317-09-05	1317-09-04
1900-01-07	1317-09-06	1317-09-06	1317-09-05
1900-01-08	1317-09-07	1317-09-07	1317-09-06
1900-01-09	1317-09-08	1317-09-08	1317-09-07
1900-01-10	1317-09-09	1317-09-09	1317-09-08
1900-01-11	1317-09-10	1317-09-10	1317-09-09
1900-01-12	1317-09-11	1317-09-11	1317-09-10
1900-01-13	1317-09-12	1317-09-12	1317-09-11
1900-01-14	1317-09-13	1317-09-13	1317-09-12
1900-01-15	1317-09-14	1317-09-14	1317-09-13
1900-01-16	1317-09-15	1317-09-15	1317-09-14
1900-01-17	1317-09-16	1317-09-16	1317-09-15
1900-01-18	1317-09-17	1317-09-17	1317-09-16
1900-01-19	1317-09-18	1317-09-18	1317-09-17
1900-01-20	1317-09-19	1317-09-19	1317-09-18
1900-01-21	1317-09-20	1317-09-20	1317-09-19
1900-01-22	1317-09-21	1317-09-21	1317-09-20
1900-01-23	1317-09-22	1317-09-22	1317-09-21
1900-01-24	1317-09-23	1317-09-23	1317-09-22
1900-01-25	1317-09-24	1317-09-24	1317-09-23
1900-01-26	1317-09-25	1317-09-25	1317-09-24
1900-01-27	1317-09-26	1317-09-26	1317-09-25
1900-01-28	1317-09-27	1317-09-27	1317-09-26
1900-01-29	1317-09-28	1317-09-28	1317-09-27
1900-01-30	1317-09-29	1317-09-29	1317-09-28
1900-01-31	1317-09-30	1317-09-30	1317-09-29
1900-02-01	1317-10-01	1317-10-01	1317-09-30
1900-02-02	1317-10-02	1317-10-02	1317-10-01
1900-02-03	1317-10-03	1317-10-03	1317-10-02
1900-02-04	1317-10-04	1317-10-04	1317-10-03
1900-02-05	1317-10-05	1317-10-05	1317-10-04
1900-02-06	1317-10-06	1317-10-06	1317-10-05
1900-02-07	1317-10-07	1317-10-07	1317-10-06
1900-02-08	1317-10-08	1317-10-08	1317-10-07
1900-02-09	1317-10-09	1317-10-09	1317-10-08
1900-02-10	1317-10-10	1317-10-10	1317-10-09
1900-02-11	1317-10-11	1317-10-11	1317-10-10
1900-02-12	1317-10-12	1317-10-12	1317-10-11
1900-02-13	1317-10-13	1317-10-13	1317-10-12
1900-02-14	1317-10-14	1317-10-14	1317-10-13
1900-02-15	1317-10-15	1317-10-15	1317-10-14
1900-02-16	1317-10-16	1317-10-16	1317-10-15
1900-02-17	1317-10-17	1317-10-17	1317-10-16
1900-02-18	1317-10-18	1317-10-18	1317-10-17
1900-02-19	1317-10-19	1317-10-19	1317-10-18
1900-02-20	1317-10-20	1317-10-20	1317-10-19
1900-02-21	1317-10-21	1317-10-21	1317-10-20
1900-02-22	1317-10-22	1317-10-22	1317-10-21
1900-02-23	1317-10-23	1317-10-23	1317-10-22
1900-02-24	1317-10-24	1317-10-24	1317-10-23
1900-02-25	1317-10-25	1317-10-25	1317-10-24
1900-02-26	1317-10-26	1317-10-26	1317-10-25
1900-02-27	1317-10-27	1317-10-27	1317-10-26
1900-02-28	1317-10-28	1317-10-28	1317-10-27
1900-02-29	#VALUE!	#VALUE!	1317-10-28
1900-03-01	1317-10-29	1317-10-29	1317-10-29
1900-03-02	1317-11-01	1317-11-01	1317-11-01
1900-03-03	1317-11-02	1317-11-02	1317-11-02
1900-03-04	1317-11-03	1317-11-03	1317-11-03
1900-03-05	1317-11-04	1317-11-04	1317-11-04
1900-03-06	1317-11-05	1317-11-05	1317-11-05
1900-03-07	1317-11-06	1317-11-06	1317-11-06
1900-03-08	1317-11-07	1317-11-07	1317-11-07
1900-03-09	1317-11-08	1317-11-08	1317-11-08
1900-03-10	1317-11-09	1317-11-09	1317-11-09
1900-03-11	1317-11-10	1317-11-10	1317-11-10
1900-03-12	1317-11-11	1317-11-11	1317-11-11
1900-03-13	1317-11-12	1317-11-12	1317-11-12
1900-03-14	1317-11-13	1317-11-13	1317-11-13
1900-03-15	1317-11-14	1317-11-14	1317-11-14
1900-03-16	1317-11-15	1317-11-15	1317-11-15
