LCID	Locale	Mon Jan	Tue Feb	Wed Mar	Thu Apr	Fri May	Sat Jun	Sun Jul	Mon Aug	Tue Sep	Wed Oct	Thu Nov	Fri Dec
0x1	ar	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0x2	bg	понеделник,пон,януари,ян,я	вторник,вт,февруари,февр,ф	сряда,ср,март,март,м	четвъртък,четв,април,апр,а	петък,пет,май,май,м	събота,съб,юни,юни,ю	неделя,нед,юли,юли,ю	понеделник,пон,август,авг,а	вторник,вт,септември,септ,с	сряда,ср,октомври,окт,о	четвъртък,четв,ноември,ноември,н	петък,пет,декември,дек,д
0x3	ca	dilluns,dl.,gener,gen,g	dimarts,dt.,febrer,feb,f	dimecres,dc.,març,març,m	dijous,dj.,abril,abr,a	divendres,dv.,maig,maig,m	dissabte,ds.,juny,juny,j	diumenge,dg.,juliol,jul,j	dilluns,dl.,agost,ag,a	dimarts,dt.,setembre,set,s	dimecres,dc.,octubre,oct,o	dijous,dj.,novembre,nov,n	divendres,dv.,desembre,des,d
0x18000004	zh-Hans	星期一,周一,一月,一月,一	星期二,周二,二月,二月,二	星期三,周三,三月,三月,三	星期四,周四,四月,四月,四	星期五,周五,五月,五月,五	星期六,周六,六月,六月,六	星期日,周日,七月,七月,七	星期一,周一,八月,八月,八	星期二,周二,九月,九月,九	星期三,周三,十月,十月,十	星期四,周四,十一月,十一月,十	星期五,周五,十二月,十二月,十
0x5	cs	pondělí,po,leden,1,l	úterý,út,únor,2,ú	středa,st,březen,3,b	čtvrtek,čt,duben,4,d	pátek,pá,květen,5,k	sobota,so,červen,6,č	neděle,ne,červenec,7,č	pondělí,po,srpen,8,s	úterý,út,září,9,z	středa,st,říjen,10,ř	čtvrtek,čt,listopad,11,l	pátek,pá,prosinec,12,p
0x6	da	mandag,ma,januar,jan,j	tirsdag,ti,februar,feb,f	onsdag,on,marts,mar,m	torsdag,to,april,apr,a	fredag,fr,maj,maj,m	lørdag,lø,juni,jun,j	søndag,sø,juli,jul,j	mandag,ma,august,aug,a	tirsdag,ti,september,sep,s	onsdag,on,oktober,okt,o	torsdag,to,november,nov,n	fredag,fr,december,dec,d
0x7	de	Montag,Mo,Januar,Jan,J	Dienstag,Di,Februar,Feb,F	Mittwoch,Mi,März,Mrz,M	Donnerstag,Do,April,Apr,A	Freitag,Fr,Mai,Mai,M	Samstag,Sa,Juni,Jun,J	Sonntag,So,Juli,Jul,J	Montag,Mo,August,Aug,A	Dienstag,Di,September,Sep,S	Mittwoch,Mi,Oktober,Okt,O	Donnerstag,Do,November,Nov,N	Freitag,Fr,Dezember,Dez,D
0x8	el	Δευτέρα,Δευ,Ιανουάριος,Ιαν,Ι	Τρίτη,Τρι,Φεβρουάριος,Φεβ,Φ	Τετάρτη,Τετ,Μάρτιος,Μαρ,Μ	Πέμπτη,Πεμ,Απρίλιος,Απρ,Α	Παρασκευή,Παρ,Μάιος,Μαϊ,Μ	Σάββατο,Σαβ,Ιούνιος,Ιουν,Ι	Κυριακή,Κυρ,Ιούλιος,Ιουλ,Ι	Δευτέρα,Δευ,Αύγουστος,Αυγ,Α	Τρίτη,Τρι,Σεπτέμβριος,Σεπ,Σ	Τετάρτη,Τετ,Οκτώβριος,Οκτ,Ο	Πέμπτη,Πεμ,Νοέμβριος,Νοε,Ν	Παρασκευή,Παρ,Δεκέμβριος,Δεκ,Δ
0x9	en	Monday,Mon,January,Jan,J	Tuesday,Tue,February,Feb,F	Wednesday,Wed,March,Mar,M	Thursday,Thu,April,Apr,A	Friday,Fri,May,May,M	Saturday,Sat,June,Jun,J	Sunday,Sun,July,Jul,J	Monday,Mon,August,Aug,A	Tuesday,Tue,September,Sep,S	Wednesday,Wed,October,Oct,O	Thursday,Thu,November,Nov,N	Friday,Fri,December,Dec,D
0xA	es	lunes,lun,enero,ene,e	martes,mar,febrero,feb,f	miércoles,mié,marzo,mar,m	jueves,jue,abril,abr,a	viernes,vie,mayo,may,m	sábado,sáb,junio,jun,j	domingo,dom,julio,jul,j	lunes,lun,agosto,ago,a	martes,mar,septiembre,sep,s	miércoles,mié,octubre,oct,o	jueves,jue,noviembre,nov,n	viernes,vie,diciembre,dic,d
0xB	fi	maanantai,ma,tammikuu,tammi,t	tiistai,ti,helmikuu,helmi,h	keskiviikko,ke,maaliskuu,maalis,m	torstai,to,huhtikuu,huhti,h	perjantai,pe,toukokuu,touko,t	lauantai,la,kesäkuu,kesä,k	sunnuntai,su,heinäkuu,heinä,h	maanantai,ma,elokuu,elo,e	tiistai,ti,syyskuu,syys,s	keskiviikko,ke,lokakuu,loka,l	torstai,to,marraskuu,marras,m	perjantai,pe,joulukuu,joulu,j
